English,日本語
Japanese confectionery,和菓子
sweet bean paste,あんこ
Japanese food,和食
Chinese food,中華料理
organization,組織
advanced nation,先進国
developing country,発展途上国
the world,世界
the United Nations,国際連合
nonprofit organization,非営利組織
government,政府
international issue,国際問題
economic growth,経済成長
public investment,公共投資
infrastructure,インフラ
diplomacy,外交
welfare,福祉
humanitarian aid,人道支援
peace,平和
civil war,内戦
refugee,難民
military force,軍事力
disarmament,軍縮
terrorism,テロリズム
conflict,紛争
security,安全保障
negotiation,交渉
peacekeeping,平和維持
society,社会
inequality,不平等
human rights,人権
poverty,貧困
hunger,飢餓
environment,環境
climate change,気候変動
global warming,地球温暖化
water shortage,水不足
pollution,汚染
natural resource,天然資源
forgive,許す
