questionId,question,answers,wrongChoices,explanation,ordered,generatedWrongChoices
80bb95ee-08bc-49b1-8ba6-5573592987a2,私の祖父は70歳で、まだ働いているのよ。,My grandfather is 70 and he's still working.,"","",0,0
251cdd7b-c2d1-48c2-bea0-abdcca5d814d,それはとても大変だろうね。,That must be very tough.,"","",0,0
39321bc6-0e17-4f5f-a3f8-2aa5d958edd2,引退したいと思っているだろうね。,I imagine he wishes he could retire.,"","",0,0
46c1f46d-64bc-4036-8ffc-bb4450b3d095,それが実は、働くのを楽しんでいるようなの。,"He seems to enjoy working, actually.","","",0,0
e495cf9c-2913-4344-965f-daf2dd9baaf1,まるで50代のように生活しているの。,He lives his life as if he were in his fifties.,"","",0,0
f9b2c5b1-1649-431b-a746-249e25ece3c6,それは良いね。,That's great.,"","",0,0
c6cbd942-cde1-4ce5-8ae9-d7c1e30ebdef,僕も同じ年になった時、そんな風に感じられるといいなあ。,I hope I feel the same way when I'm his age.,"","",0,0
bf2bf4c3-8399-4a30-abaf-b495da8e7465,仕事がなければ、祖父はすることが何もなかったでしょう。,"Without his job, he'd have nothing to do.","","",0,0
7bfae77c-0691-4b28-8e2c-331e6fad8120,とても健康で行動的よ。,He's very healthy and active.,"","",0,0
2504d81c-47eb-4caf-9843-223f459b1a48,寿命が延びているから、働く時間がもっとあるだろうね。,"I suppose that as life expectancy is rising, there is more time to work.","","",0,0
