English,日本語
relationships,交際・付き合い
greet,あいさつする
shake hands,握手する
bow,お辞儀する
introduce,紹介する
give a present,贈り物をすする
receive a letter,手紙を受け取る
thank-you letter,お礼の手紙
invitation,招待状
congratulate,祝う
have a party,パーティーを開く
get in touch with ~,〜と連絡を取る
appointment,会う約束
go on a date with ~,〜とデートをする
apologize,謝る
encourage,励ます
compliment,ほめる
complain,不平を言う
quarrel,口論する
argue,言い争う
discuss,議論する
agree,同意する
disagree,同意しない
explain,説明する
comfortable,心地よい、快適
consist,構成する、成り立つ
preserve,保存する
maintain,維持する
promote,促進する
fair,正当な、公平な、公正
approach,アプローチ
attitude,態度
excellent,素晴らしい、優れた
among,間で
meter,メートル
development,発展、開発
restriction,制限
basic,基本的な
ideal,理想的な
access,アクセス
