English,日本語
town, 街
restaurant, レストラン
bakery, パン屋
furniture store, 家具屋
clothing store, 衣料品店
electronics store, 電化製品店
drugstore, 薬局
beauty salon, 美容院
city hall, 市役所
community centor, 公民館
shopping, 買い物
do the shopping, 買い物をする
go shopping, 買い物に行く
save money, お金を節約する
expensive, 値段が高い
reasonable, 値段が手ごろな
cheap, 値段が安い
discount, 割引き
bargain, お買い得品
price tag, 値札
consumption tax, 消費税
including tax, 税込みで
pay for ~, 〜の代金を払う
pay in cash, 現金で払う
pay by credit card, クレジットカードで払う
coin, 硬貨
bill, 紙幣
describe, 描写する、説明する
situation, 状況
certain, 特定の
accounting, 会計
suggest, 提案する
healthy, 健康的
stress, ストレス
slope, 傾斜
wallet, 財布
roof, 屋根
argument, 喧嘩、口論
engine, エンジン
amazing, 驚くべき
