English,Japanese
sports,スポーツ
soccer,サッカー
volleyball,バレーボール
rugby,ラグビー
baseball,野球
dodge ball,ドッジボール
swimming,水泳
skiing,スキー
play tennis,テニスをする
do karate,空手をする
go skiing,スキーに行く
watch a baseball game,野球の試合を見る
exercise,身体活動、運動
work out,運動する
lack of exercise,運動不足
being overweight,肥満
physical checkup,健康診断
well-balanced meal,バランスの取れた食事
gain weight,体重が増える
lose weight,体重が減る
be on a diet,ダイエット中
be in good shape,体調が良い
due to,〜のために、による
display,表示する、展示する
ingredient,材料
safety,安全性
distance,距離
opinion,意見
device,装置
portable,持ち運びしやすい
admit,認める
whole,全体
disadvantage,欠点、短所
machine,機械
trust,信頼する
behave,振る舞う、行動する
exploration,探検、調査
cause,引き起こす、原因
domestic,国内の、家庭の
financial,会計の、金融の
