questionId,question,answers,wrongChoices,explanation,ordered,generatedWrongChoices
b4cba24c-764f-4411-b974-c73f2d9fb0cb,claim,主張する,"","",0,0
c8070674-9907-41a1-8353-c682a9b61b82,rude,失礼な,"","",0,0
c28da3d4-c09f-40d2-be7a-d98b132ed326,mastery,熟練している,"","",0,0
bd5171ae-74d9-4429-8f59-f093b2f346e6,in a way,ある意味で,"","",0,0
ab4c671e-54e4-4558-be66-86cc9472d239,obvious,明らかな,"","",0,0
56a3c3a0-7ac1-4e9e-b04d-2a60a737ee8f,literature,文学,"","",0,0
cbfc2928-f4cb-47ad-838c-1e0adfc379bf,and so forth,など,"","",0,0
926467a8-b5cd-4b06-b166-0b0818eea3f4,more than anything else,何よりもまず,"","",0,0
f12a734c-3e08-463f-868c-8ee849788710,symbolic,象徴的な,"","",0,0
19054e25-4e34-44c2-bbb8-4b713c07afee,protest,抗議,"","",0,0
639af123-c6de-4ce8-a47c-86a6b8f3ef33,design,計画する,"","",0,0
a0d3ea5a-ab26-46f3-a77c-1500c9ded091,attract,引き付ける,"","",0,0
f9f57b49-894e-4445-a378-c00bf21a6d07,agreement,協定,"","",0,0
add57b33-6c64-4d93-8dae-a12aeabb9b27,legal,合法の,"","",0,0
80b70301-f96f-4c21-b798-6f7a19e3ef46,manufacture,製造する,"","",0,0
bdc295d2-0549-432f-9652-dafd0e1a0f97,what's more,その上,"","",0,0
1806fb7f-85b0-4702-b5bc-2bb53c7a10e9,in large part,主に,"","",0,0
fe67bffd-9ba3-401e-9aab-5c906199bf1c,independence,独立,"","",0,0
af335286-75be-4b91-a655-a41ed5fc2ede,tooth decay,虫歯,"","",0,0
99ed4fa7-bb9d-47e6-bab8-6f63f80c2cd1,myth,作り話,"","",0,0
c0e067ab-e6bb-4c18-bcf2-79d8e22b115d,rather than,よりもむしろ,"","",0,0
137bb661-580a-432e-950a-017bebbe233e,as with,の場合と同様に,"","",0,0
5109a391-9ce9-4ab4-a8c4-16a3b64cbd03,diet,食事,"","",0,0
deb31ca9-2eff-4385-9dd5-822a47273be0,guarantee,保証する,"","",0,0
67394809-eccc-409a-bdc0-64d32d545df6,in that,という点で,"","",0,0
5b16d34d-deea-4d15-bacc-47cff198796f,locate,置く,"","",0,0
be914c5e-e82b-4463-9698-8252073b687e,evolution,進化,"","",0,0
c8919ee9-2a91-4901-8e89-640ac8392265,melting pot,るつぼ,"","",0,0
3f7fe5f0-2c27-4ca2-9edd-65ffcf6cbc58,volcanic,火山の,"","",0,0
65ee32b1-8023-47ad-abf2-b260d482c5a4,separation,分離,"","",0,0
5af6599c-2b91-4c63-8d4e-ffb5b92dc57b,continent,大陸,"","",0,0
5f9685c7-af5f-4e52-87bd-c97ac71a9e52,unusual,まれな,"","",0,0
